"Datum","Název"
2009-01-01,"Den obnovy samostatného českého státu"
2009-04-13,"Velikonoční pondělí"
2009-05-01,"Svátek práce"
2009-05-08,"Den vítězství"
2009-07-05,"Den slovanských věrozvěstů Cyrila a Metoděje"
2009-07-06,"Den upálení mistra Jana Husa"
2009-09-28,"Den české státnosti"
2009-10-28,"Den vzniku samostatného československého státu"
2009-11-17,"Den boje za svobodu a demokracii"
2009-12-24,"Štědrý den"
2009-12-25,"1. svátek vánoční"
2009-12-26,"2. svátek vánoční"
2010-01-01,"Nový rok"
2010-04-05,"Velikonoční pondělí"
2010-05-01,"Svátek práce"
2010-05-08,"Den vítězství"
2010-07-05,"Den Cyrila a Metoděje"
2010-07-06,"Den upálení Jana Husa"
2010-09-28,"Den české státnosti"
2010-10-28,"Den vzniku samostatné republiky"
2010-11-17,"Den boje za svobodu a demokracii"
2010-12-24,"Štědrý den"
2010-12-25,"1.svátek vánoční"
2010-12-26,"2.svátek vánoční"
2011-01-01,"Nový rok"
2011-04-25,"Velikonoční pondělí"
2011-05-01,"Svátek práce"
2011-05-08,"Den vítězství"
2011-07-05,"Den slovanských věrozvěstů Cyrila a Metoděje"
2011-07-06,"Den upálení mistra Jana Husa"
2011-09-28,"Den české státnosti"
2011-10-28,"Den vzniku samostatného československého státu"
2011-11-17,"Den boje za svobodu a demokracii"
2011-12-24,"Štědrý den"
2011-12-25,"1.svátek vánoční"
2011-12-26,"2.svátek vánoční"
2012-01-01,"Nový rok"
2012-04-09,"Velikonoční pondělí"
2012-05-01,"Svátek práce"
2012-05-08,"Den vítězství"
2012-07-05,"Den slovanských věrozvěstů Cyrila a Metoděje"
2012-07-06,"Den upálení mistra Jana Husa"
2012-09-28,"Den české státnosti"
2012-10-28,"Den vzniku samostatného československého státu"
2012-11-17,"Den boje za svobodu a demokracii"
2012-12-24,"Štědrý den"
2012-12-25,"1. svátek vánoční"
2012-12-26,"2.svátek vánoční"
2013-01-01,"Nový rok"
2013-04-01,"Velikonoční pondělí"
2013-05-01,"Svátek práce"
2013-05-08,"Den vítězství"
2013-07-05,"Den slovanských věrozvěstů Cyrila a Metoděje"
2013-07-06,"Den upálení mistra Jana Husa"
2013-09-28,"Den české státnosti"
2013-10-28,"Den vzniku samostatného československého státu"
2013-11-17,"Den boje za svobodu a demokracii"
2013-12-24,"Štědrý den"
2013-12-25,"1. svátek vánoční"
2013-12-26,"2. svátek vánoční"
2014-01-01,"Nový rok"
2014-04-21,"Velikonoční pondělí"
2014-05-01,"Svátek práce"
2014-05-08,"Den vítězství"
2014-07-05,"Den slovanských věrozvěstů Cyrila a Metoděje"
2014-07-06,"Den upálení mistra Jana Husa"
2014-09-28,"Den české státnosti"
2014-10-28,"Den vzniku samostatného československého státu"
2014-11-17,"Den boje za svobodu a demokracii"
2014-12-24,"Štědrý den"
2014-12-25,"1. svátek vánoční"
2014-12-26,"2. svátek vánoční"
2015-01-01,"Nový rok"
2015-04-06,"Velikonoční pondělí"
2015-05-01,"Svátek práce"
2015-05-08,"Den osvobození"
2015-07-05,"Den slovanských věrozvěstů Cyrila a Metoděje"
2015-07-06,"Den upálení mistra Jana Husa"
2015-09-28,"Den české státnosti"
2015-10-28,"Den vzniku samostatného československého státu"
2015-11-17,"Den boje za svobodu a demokracii"
2015-12-24,"Štědrý den"
2015-12-25,"První svátek vánoční"
2015-12-26,"Druhý svátek vánoční"
2016-01-01,"Nový rok"
2016-03-25,"Velký pátek"
2016-03-28,"Velikonoční pondělí"
2016-05-01,"Svátek práce"
2016-05-08,"Den osvobození"
2016-07-05,"Den slovanských věrozvěstů Cyrila a Metoděje"
2016-07-06,"Den upálení mistra Jana Husa"
2016-09-28,"Den české státnosti"
2016-10-28,"Den vzniku samostatného československého státu"
2016-11-17,"Den boje za svobodu a demokracii"
2016-12-24,"Štědrý den"
2016-12-25,"První svátek vánoční"
2016-12-26,"Druhý svátek vánoční"
2017-01-01,"Nový rok"
2017-04-14,"Velký pátek"
2017-04-17,"Velikonoční pondělí"
2017-05-01,"Svátek práce"
2017-05-08,"Den osvobození"
2017-07-05,"Den slovanských věrozvěstů Cyrila a Metoděje"
2017-07-06,"Den upálení mistra Jana Husa"
2017-09-28,"Den české státnosti"
2017-10-28,"Den vzniku samostatného československého státu"
2017-11-17,"Den boje za svobodu a demokracii"
2017-12-24,"Štědrý den"
2017-12-25,"První svátek vánoční"
2017-12-26,"Druhý svátek vánoční"
2018-01-01,"Nový rok"
2018-03-30,"Velký pátek"
2018-04-02,"Velikonoční pondělí"
2018-05-01,"Svátek práce"
2018-05-08,"Den osvobození"
2018-07-05,"Den slovanských věrozvěstů Cyrila a Metoděje"
2018-07-06,"Den upálení mistra Jana Husa"
2018-09-28,"Den české státnosti"
2018-10-28,"Den vzniku samostatného československého státu"
2018-11-17,"Den boje za svobodu a demokracii"
2018-12-24,"Štědrý den"
2018-12-25,"První svátek vánoční"
2018-12-26,"Druhý svátek vánoční"
2019-01-01,"Nový rok"
2019-04-19,"Velký pátek"
2019-04-22,"Velikonoční pondělí"
2019-05-01,"Svátek práce"
2019-05-08,"Den osvobození"
2019-07-05,"Den slovanských věrozvěstů Cyrila a Metoděje"
2019-07-06,"Den upálení mistra Jana Husa"
2019-09-28,"Den české státnosti"
2019-10-28,"Den vzniku samostatného československého státu"
2019-11-17,"Den boje za svobodu a demokracii"
2019-12-24,"Štědrý den"
2019-12-25,"První svátek vánoční"
2019-12-26,"Druhý svátek vánoční"
2020-01-01,"Nový rok"
2020-04-10,"Velký pátek"
2020-04-13,"Velikonoční pondělí"
2020-05-01,"Svátek práce"
2020-05-08,"Den osvobození"
2020-07-05,"Den slovanských věrozvěstů Cyrila a Metoděje"
2020-07-06,"Den upálení mistra Jana Husa"
2020-09-28,"Den české státnosti"
2020-10-28,"Den vzniku samostatného československého státu"
2020-11-17,"Den boje za svobodu a demokracii"
2020-12-24,"Štědrý den"
2020-12-25,"První svátek vánoční"
2020-12-26,"Druhý svátek vánoční"
2021-01-01,"Nový rok"
2021-04-02,"Velký pátek"
2021-04-05,"Velikonoční pondělí"
2021-05-01,"Svátek práce"
2021-05-08,"Den osvobození"
2021-07-05,"Den slovanských věrozvěstů Cyrila a Metoděje"
2021-07-06,"Den upálení mistra Jana Husa"
2021-09-28,"Den české státnosti"
2021-10-28,"Den vzniku samostatného československého státu"
2021-11-17,"Den boje za svobodu a demokracii"
2021-12-24,"Štědrý den"
2021-12-25,"První svátek vánoční"
2021-12-26,"Druhý svátek vánoční"
